date,new_cases,new_deaths
2020-02-12,442,1
2020-02-13,6,0
2020-02-14,14,1
2020-02-15,21,0
2020-02-16,20,1
2020-02-17,12,0
2020-02-18,10,0
2020-02-19,32,0
2020-02-20,68,1
2020-02-21,111,0
2020-02-22,183,1
2020-02-23,290,3
2020-02-24,176,2
2020-02-25,267,3
2020-02-26,332,2
