country,recovered
singapore,58
usa,6
thailand,15
malaysia,17
australia,15
germany,15
vietnam,16
uae,3
uk,8
canada,3
macau,6
india,3
russia,2
spain,2
nepal,1
cambodia,1
sri lanka,1
finland,1
belgium,1
egypt,1
