"x","y"
2019-11-22,0
2019-11-23,0.0222222222222222
2019-11-24,-0.0222222222222222
2019-11-25,0.0111111111111111
2019-11-26,-0.0111111111111111
2019-11-27,0.0444444444444444
2019-11-28,0.0111111111111111
2019-11-29,0.0222222222222222
2019-11-30,0.0111111111111111
2019-12-01,0.1
2019-12-02,-0.0111111111111111
2019-12-03,0.222222222222222
2019-12-04,-0.0444444444444444
2019-12-05,-0.0888888888888889
2019-12-06,0.311111111111111
2019-12-07,0.133333333333333
2019-12-08,0.255555555555556
2019-12-09,0.111111111111111
2019-12-10,-0.122222222222222
2019-12-11,0.177777777777778
2019-12-12,0.2
2019-12-13,0.333333333333333
2019-12-14,0.166666666666667
2019-12-15,0.111111111111111
2019-12-16,0.3
2019-12-17,0.622222222222222
2019-12-18,0.0444444444444444
2019-12-19,0.766666666666667
2019-12-20,0.544444444444444
2019-12-21,0.344444444444444
2019-12-22,0.877777777777778
2019-12-23,0.455555555555556
2019-12-24,-0.422222222222222
2019-12-25,0.755555555555556
2019-12-26,0.322222222222222
2019-12-27,0.0555555555555556
2019-12-28,2.4
2019-12-29,-0.166666666666667
2019-12-30,1.98888888888889
2019-12-31,1.91111111111111
2020-01-01,1.81111111111111
2020-01-02,1.28888888888889
2020-01-03,1.36666666666667
2020-01-04,1.52222222222222
2020-01-05,0.388888888888889
2020-01-06,1.24444444444444
2020-01-07,2.21111111111111
2020-01-08,3.2
2020-01-09,4.1
2020-01-10,3.85555555555556
2020-01-11,4.3
2020-01-12,6.57777777777778
2020-01-13,5.6
2020-01-14,8.66666666666667
2020-01-15,11.3111111111111
2020-01-16,15.6555555555556
2020-01-17,19.4777777777778
2020-01-18,27.4
2020-01-19,39.2333333333333
2020-01-20,43.3777777777778
2020-01-21,51.5777777777778
2020-01-22,54.0333333333333
2020-01-23,73.4888888888889
2020-01-24,74.8888888888889
2020-01-25,74.7111111111111
2020-01-26,52.3666666666667
2020-01-27,41.5111111111111
2020-01-28,38.3888888888889
2020-01-29,27.6
2020-01-30,23.9222222222222
2020-01-31,53.1222222222222
2020-02-01,103.9
2020-02-02,191.611111111111
2020-02-03,298.4
2020-02-04,424.255555555556
2020-02-05,537.911111111111
2020-02-06,642.166666666667
2020-02-07,714.177777777778
2020-02-08,785.277777777778
2020-02-09,693.066666666667
2020-02-10,429.944444444444
2020-02-11,168.222222222222
2020-02-12,-25.3444444444444
2020-02-13,-224.777777777778
2020-02-14,-336.1
2020-02-15,-401.688888888889
2020-02-16,-454.355555555556
2020-02-17,-486.7
2020-02-18,-461.344444444444
2020-02-19,-433.6
2020-02-20,-409.377777777778
2020-02-21,-360.466666666667
2020-02-22,-309.2
2020-02-23,-268.044444444444
2020-02-24,-237.3
2020-02-25,-200.688888888889
2020-02-26,-168.666666666667
2020-02-27,-131.633333333333
2020-02-28,-115.422222222222
2020-02-29,-95.6222222222222
