"iso3c","cfr_mid","cfr_low","cfr_high"
"ABW",1.59387412846786,1.34768145274713,1.89630774216511
"AFG",0.339662227126504,0.278029472948873,0.448126470082555
"AGO",0.301819519179969,0.24611694886794,0.403565637774876
"ALB",1.60630405712697,1.35781442196261,1.91329382292029
"ARE",0.329469704420448,0.261868442493327,0.449931435482892
"ARG",1.24708066102282,1.05002281296095,1.5012317962915
"ARM",1.39589059466785,1.17448768987127,1.67390777434384
"ATG",1.08646093456417,0.912658766195572,1.31456735458704
"AUS",1.75641062091231,1.48398484879549,2.09149733423462
"AUT",2.12727888918991,1.79900189428895,2.52339955027536
"AZE",0.871857684594654,0.727893581617439,1.06758434367688
"BDI",0.314619736567346,0.256935497603059,0.41823974431957
"BEL",2.10404438504261,1.77837567117979,2.4965839931625
"BEN",0.407607197028375,0.336050958639791,0.52645316379391
"BFA",0.31689235694038,0.258886947683325,0.421185081799132
"BGD",0.670830432066164,0.557483724799552,0.836512993571662
"BGR",2.21607116743386,1.87897672088705,2.61947159102504
"BHR",0.450570846676301,0.366657151910897,0.586805675949983
"BHS",0.937333294511352,0.785076596061519,1.14254519870413
"BIH",1.89775479604915,1.60515831021987,2.2509459911333
"BLR",1.71688956649901,1.44805912610229,2.04513647633518
"BLZ",0.628948950382399,0.521896965633103,0.787136255881857
"BOL",0.853381262566897,0.714337324564515,1.04585625485896
"BRA",1.09860744813606,0.922364393888111,1.33014752424062
"BRB",1.84469176917643,1.55794956337278,2.19420689074402
"BRN",0.720733809542314,0.599175343681926,0.893447376469486
"BTN",0.742964547207664,0.619119606714255,0.92011502840806
"BWA",0.539763842194227,0.447756793238718,0.68095317608037
"CAF",0.353277820986698,0.290030607509601,0.463038647851117
"CAN",1.95624244612199,1.65477165325108,2.32110933991399
"CHE",2.09504020773649,1.7716495395984,2.48593058299049
"CHL",1.36530835029058,1.14967279902453,1.63876177530283
"CHN",1.28422116580352,1.08161256180518,1.54196652558592
"CIV",0.364791224483026,0.299518486257043,0.476707356201268
"CMR",0.347641266933335,0.284758841525444,0.457481199455403
"COD",0.373692855860098,0.307799249510113,0.486067933137806
"COG",0.367153735784035,0.300983378591731,0.480445604676399
"COL",1.03434675207875,0.86774420435642,1.25559066778526
"COM",0.403668118146953,0.331912966836286,0.522911925436554
"CPV",0.626793718929186,0.518650815794585,0.786501646618272
"CRI",1.18223012527792,0.993892985381953,1.42673342742232
"CUB",1.73503319872414,1.46493474138896,2.06790187175057
"CUW",1.8987772321755,1.60702478971359,2.25226649482023
"CYP",1.56936310631203,1.32444434529192,1.87468065301099
"CZE",2.05296036480405,1.73997522996416,2.43055051545516
"DEU",2.40288881726923,2.03123797443326,2.84575548839578
"DJI",0.589128400549796,0.488890607023063,0.73987178163607
"DNK",2.12354858519289,1.7999933235572,2.51389077161142
"DOM",0.884478221488686,0.740054973336416,1.0819642889631
"DZA",0.785388667827126,0.656026440277373,0.966703484938773
"ECU",0.874960621343463,0.732221907036535,1.07070944192787
"EGY",0.635421428430085,0.529594740204426,0.790970728679582
"ERI",0.510980528007485,0.424696988952543,0.646043318951722
"ESH",0.485617440275894,0.399092701769541,0.62125752414913
"ESP",2.22354339424054,1.87865322270887,2.63825453713901
"EST",2.17744447166649,1.84049615991087,2.58161500596665
"ETH",0.427830464095748,0.353212428471336,0.550192745699305
"FIN",2.33604307030244,1.98045917076956,2.76025640572215
"FJI",0.710959821249292,0.593550884360875,0.878316194318887
"FRA",2.22285244544525,1.88000440734594,2.63422565013968
"FSM",0.547782126742073,0.454328337399258,0.688642801749246
"GAB",0.445664774671478,0.367293897354933,0.57284813427337
"GBR",2.01953234196846,1.70818778319331,2.39743595581057
"GEO",1.67116500113432,1.41082058862196,1.99136437255824
"GHA",0.419804754695765,0.345488950304904,0.541927651791615
"GIN",0.361826721812087,0.297410555692042,0.472582113034304
"GLP",2.09422936167767,1.77159493152924,2.48174476478718
"GMB",0.32490937532069,0.265806282205553,0.430499215157755
"GNB",0.3544366572527,0.290702324498297,0.464813720796464
"GNQ",0.318794228306076,0.258822553851966,0.426638967558456
"GRC",2.46022075811547,2.07910837169291,2.91447438034488
"GRD",1.14280386601374,0.960809380922333,1.37971219527369
"GTM",0.59538210301689,0.494374308856873,0.746921735432655
"GUF",0.661659835544157,0.551633418458427,0.820963947944637
"GUM",1.17627868801953,0.989925941238158,1.41760197946476
"GUY",0.838833319051718,0.701503163800808,1.02764909625343
"HKG",2.0427729989964,1.7248594266204,2.42461061483625
"HND",0.606173578863495,0.502850142029245,0.760397072917979
"HRV",2.25248388470619,1.90597490989431,2.66584663792961
"HTI",0.612238232557626,0.509178322699702,0.765596157880008
"HUN",2.05991809170475,1.74415878738886,2.43909979250234
"IDN",0.765496577937596,0.639004943572139,0.943136081884131
"IND",0.766446754863609,0.640117943675772,0.944105795426875
"IRL",1.56165017153402,1.31878722804182,1.86463163806281
"IRN",0.792737911488836,0.661606087770387,0.976266400925325
"IRQ",0.415990661859109,0.342019424274019,0.537989878881978
"ISL",1.69541944732601,1.43240893327473,2.01917839179487
"ISR",1.32035609120216,1.11287456715785,1.5851961396636
"ITA",2.54499383729185,2.15258209000694,3.0111958231597
"JAM",1.05372637097409,0.884453638072364,1.27793570049045
"JOR",0.508422829266285,0.420064150790443,0.646725119649441
"JPN",2.97048758161934,2.51716154265886,3.50386259090763
"KAZ",0.932073003077696,0.780542812419664,1.13586951794583
"KEN",0.33942641839048,0.276754734091235,0.449555074400284
"KGZ",0.614017007595271,0.50967300133917,0.767538753371874
